id,label
8382,Diogenes Neves
1212,Dan Adkins
1214,Elliot S. Maggin
1215,Billy Graham
1216,Rich Buckler
9408,Sara Pichelli
1217,Joe Staton
1219,Ron Wilson
1220,Jim Craig
1221,John Francis Moore
1222,Joe Madureira
1223,John Bolton
1218,Harlan Ellison
1224,Hi-Fi Design
1226,Dennis Oneil
1227,David Lapham
1231,Kurt Busiek
1232,Jerry Ordway
9425,Sean Galloway
9423,Scott Wegener
1235,Craig Russell
1236,Michael Fleisher
9429,Sean Mckeever
1237,Roger Slifer
1238,Jack Sparling
1240,Joe Sinnott
1239,Jerry Siegel
9432,Sean Ryan
1244,Tom Ziuko
1245,Mike Friedrich
1246,Larry Stroman
1247,Bob Layton
1248,Ken Lashley
1249,Steve Skroce
1250,Jeff Purves
9443,Shawn Crystal
1252,Rick Leonardi
1251,Brett Breeding
9437,Serge Lapointe
1255,Ivan Reis
1256,Syd Shores
1253,Greg Theakston
1258,Alfredo Alcala
1259,Virgilio Redondo
1260,Yong Montano
1261,Tony Dipreta
9454,Stan Sakai
9451,Sonny Liew
9457,Stefano Landini
1266,And More
1267,Keith Pollard
1268,More
9461,Stephanie Buscema
9458,Stephan Roux
1272,Carmine Infantino
1273,Scott Edelman
9466,Stephen Molnar
1275,Kevin Nowlan
9468,Stephen Segovia
1277,Bret Blevins
9469,Stephen Thompson
1279,Jon Bogdanove
1280,Linda Fite
1281,Dwayne Turner
1282,Ralph Macchio
1283,Wesley Wong
1284,Michael Higgins
9476,Steve Darnall
1286,Howard Mackie
1287,Al Hartley
1288,Jerry Bingham
1289,Robert Bernstein
1290,Alan Weiss
9482,Steve Lieber
1292,Anthony Williams
1293,Steven Grant
9484,Steve Mcniven
1295,Mike Esposito
1291,Gray Morrow
1297,Jo Duffy
1298,June Brigman
1299,Steve Lightle
1300,Terry Shoemaker
1301,Tom Grindberg
1303,Paul Gustavson
1304,Al Anders
1305,Steve Dahlman
1306,Paul Reinman
1307,Steve Yeowell
1310,Mary Jo Duffy
1311,Lee Elias
1314,Sam Grainger
1315,Steve Leialoha
